surface(m²),pieces,chambres,salles de bains,etat,etage,ans,ville,autre,prix(DHs),lienImage,lienArticle
84 m²,,3 Chambres,2 Salles de bains,Nouveau,,,Martil, Orientation:  Nord  Terrasse Garage Chambre rangement Meublé Antenne parabolique Climatisation Cuisine équipée Four  Type du sol:  Carrelage  ,,https://www.mubawab-media.com/ad/7/761/115F/h/photo_00_54097482.jpg,https://www.mubawab.ma/fr/a/7761115/vente-d-un-bel-appartement-%C3%A0-martil-superficie-84-m%C2%B2-bien-meubl%C3%A9
177 m²,3 Pièces,3 Chambres,3 Salles de bains,Bon état,,5-10 ans,La Ville Haute à Kénitra, Orientation:  Nord  Terrasse Garage Ascenseur Concierge Façade extérieure Salon Marocain Salon européen Antenne parabolique Cuisine équipée  Type du sol:  Carrelage  ,1250000 DH,https://www.mubawab-media.com/ad/7/761/071F/h/CE23ED4A-6879-4E99-8160-886C648BFE13_54080234.jpeg,https://www.mubawab.ma/fr/a/7761071/appartement-%C3%A0-l-achat-%C3%A0-la-ville-haute-surface-totale-177-m%C2%B2-salon-marocain-et-antenne-parabolique-
57 m²,,2 Chambres,,Bon état,"4ème
					étage",1-5 ans,Koudia à Marrakech, Orientation:  Nord  Ascenseur Vue sur les montagnes Piscine Concierge Façade extérieure Antenne parabolique Climatisation Sécurité Porte blindée  Type du sol:  Carrelage  ,480000 DH,https://www.mubawab-media.com/ad/7/761/063F/h/IMG-20230717-WA0006_54071315.jpg,https://www.mubawab.ma/fr/a/7761063/appartement-en-tr%C3%A8s-bon-%C3%A9tat-titre
106 m²,5 Pièces,3 Chambres,2 Salles de bains,Bon état,"2ème
					étage",10-20 ans,Beauséjour à Casablanca, Orientation:  Sud  Garage Ascenseur Concierge Salon Marocain Salon européen Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes  Type du sol:  Carrelage  ,1590000 DH,https://www.mubawab-media.com/ad/7/761/048F/h/Logo_Maison_%C3%A0_Vendre_%283%29_54071148.png,https://www.mubawab.ma/fr/a/7761048/appartement-de-106-m2-%C3%A0-beaus%C3%A9jour
71 m²,3 Pièces,3 Chambres,2 Salles de bains,Nouveau,"2ème
					étage",,Marjane à Tanger,Ascenseur Concierge Salon Marocain Climatisation Sécurité Cuisine équipée  Type du sol:  Carrelage  ,,https://www.mubawab-media.com/ad/7/761/058F/h/IMG-20230201-WA0033_54069124.jpg,https://www.mubawab.ma/fr/a/7761058/apprt-%C3%A0-vendre-71-m-3-ch-balcon-assenceur
64 m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,"4ème
					étage",5-10 ans,Hay Mohammadi à Agadir, Orientation:  Sud  Garage Ascenseur Vue sur mer Façade extérieure Salon Marocain Antenne parabolique Climatisation Sécurité Cuisine équipée Four  Type du sol:  Marbre  ,750000 DH,https://www.mubawab-media.com/ad/7/757/404F/h/fenetre_53615605.png,https://www.mubawab.ma/fr/a/7757404/app-essafa-ensolleill%C3%A9-s%C3%A9curis%C3%A9-r%C3%A9nov%C3%A9-moyen-stand
100 m²,3 Pièces,2 Chambres,,Bon état,"3ème
					étage",20-30 ans,La Vilette à Casablanca, Orientation:  Sud  Terrasse Chambre rangement Four  Type du sol:  Carrelage  ,800000 DH,https://www.mubawab-media.com/ad/7/761/032F/h/WhatsApp%20Image%202023-09-20%20at%2020.10.27_56442391.jpeg,https://www.mubawab.ma/fr/a/7761032/appartement-%C3%A0-vendre-la-villette
60 m²,4 Pièces,2 Chambres,,Nouveau,"2ème
					étage",,Al Madina Aljadida à Casablanca, Orientation:  Ouest  Sécurité ,440000 DH,https://www.mubawab-media.com/ad/7/504/325F/h/12726709_912627208846880_46644665_n_29546931.jpeg,https://www.mubawab.ma/fr/a/7504325/appartement-a-vendre-special
97 m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,,5-10 ans,Dar Bouazza, Orientation:  Ouest  Jardin Terrasse Garage Piscine Chambre rangement Salon européen Climatisation Cuisine équipée  Type du sol:  Marbre  ,900000 DH,https://www.mubawab-media.com/ad/7/553/544F/h/144B9EC4-8172-4309-BE6B-1C7FA5279E04_53461142.jpeg,https://www.mubawab.ma/fr/a/7553544/appartement-%C3%A0-vendre-%C3%A0-dar-bouazza
62 m²,2 Pièces,3 Chambres,,Bon état,"4ème
					étage",,Annaim à Salé,Terrasse Meublé Salon Marocain Antenne parabolique Cuisine équipée Réfrigérateur Micro-ondes  Type du sol:  Carrelage  ,500000 DH,https://www.mubawab-media.com/ad/7/761/000F/h/photo_0_54055684.jpg,https://www.mubawab.ma/fr/a/7761000/bel-appartement-%C3%A0-vendre-%C3%A0-annaim-2-pi%C3%A8ces-confortables-bien-meubl%C3%A9-
85 m²,3 Pièces,3 Chambres,,À rénover,"1er
					étage",10-20 ans,Hay Hassani à Tanger, Orientation:  Nord  Terrasse Meublé Salon Marocain Sécurité Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes ,580000 DH,https://www.mubawab-media.com/ad/7/760/986F/h/WhatsApp%20Image%202023-08-15%20at%2014.58.41%20%281%29_54055527.jpeg,https://www.mubawab.ma/fr/a/7760986/appartement-moderne-de-3-chambres-pr%C3%A8s-de-marjane
109 m²,4 Pièces,2 Chambres,2 Salles de bains,Bon état,"5ème
					étage",10-20 ans,Derb Ghalef à Casablanca,Jardin Garage Ascenseur Chambre rangement Salon Marocain Salon européen Climatisation Sécurité Cuisine équipée Four Micro-ondes  Type du sol:  Parquet  ,1308000 DH,https://www.mubawab-media.com/ad/7/760/968F/h/0219766b-84e9-40f6-a375-70b6da408907_54055421.jpeg,https://www.mubawab.ma/fr/a/7760968/appartement-5%C3%A9me-%C3%A9tage-%C3%A0-abdelmoumen
86 m²,2 Pièces,2 Chambres,,Bon état,"1er
					étage",5-10 ans,Had Soualem, Orientation:  Nord  Terrasse Façade extérieure Salon Marocain Salon européen Antenne parabolique  Type du sol:  Carrelage  ,560000 DH,https://www.mubawab-media.com/ad/7/756/932F/h/20230807_105832_53533439.jpg,https://www.mubawab.ma/fr/a/7756932/appartement-tr%C3%A8s-ensoleill%C3%A9-quartier-beau-et-cal
113 m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,"4ème
					étage",,Sidi bouzekri à Meknes, Orientation:  Sud  Terrasse Ascenseur Concierge Porte blindée Cuisine équipée  Type du sol:  Carrelage  ,480000 DH,https://www.mubawab-media.com/ad/7/745/982F/h/20220723_113329_52464980.jpg,https://www.mubawab.ma/fr/a/7745982/derniers-appartements-%C3%A0-vendre-meknes-sidibouzkri
